Date,Event,Type,Description & Potential Impact,Significance,Market Sentiment
November 24 2025,German Ifo Business Climate Index,Economic,"Released at 9:00 AM ET, actual 88.1 (vs. forecast 88.5). Measures business sentiment in Germany; lower-than-expected reading could pressure European stocks and the Euro.",Medium,Bearish
November 24 2025,US Dallas Fed Manufacturing Index,Economic,"Released at 3:30 PM ET, actual -5.0 (vs. previous -1). Indicates manufacturing activity in Texas; negative reading may signal weakness in US industrial sector.",Medium,Bearish
November 24 2025,Chicago Fed National Activity Index,Economic,"Released at 8:30 AM ET. Tracks overall US economic activity; can influence market expectations for growth and Fed policy.",Medium,Neutral
November 25 2025,FOMC Minutes Release,Fed,"Released at 2:00 PM ET from October 28-29 meeting. Provides insights into Fed's rate decisions; could cause volatility in stocks, bonds, and crypto.",High,Mixed
November 25 2025,Beige Book,Fed,"Released at 2:00 PM ET. Summary of economic conditions across Fed districts; impacts market sentiment on US economy.",High,Mixed
November 25 2025,US Retail Sales,Economic,"Released at 1:30 PM ET, actual 0.6% MoM (vs. forecast 0.3%). Reflects consumer spending; stronger data boosts retail stocks.",High,Bullish
November 25 2025,US Producer Price Index (PPI),Economic,"Released at 1:30 PM ET, actual -0.1% MoM (vs. forecast 0.5%). Key inflation measure; lower inflation supports rate-cut expectations.",High,Bullish
November 25 2025,US CB Consumer Confidence,Economic,"Released at 3:00 PM ET, actual 94.6 (vs. forecast 94.2). Higher confidence supports consumer-driven stocks.",High,Bullish
November 25-27 2025,B2C 2025 Conference,Crypto,"Blockchain event in Innsbruck, Austria. Potential for announcements on blockchain tech; could drive interest in related crypto assets.",Low,Bullish
November 26 2025,Australian Inflation Rate,Economic,"Released at 12:30 AM ET, actual 3.5% YoY. Affects AUD and commodity stocks; higher inflation may pressure RBA policy.",Medium,Bearish
November 27 2025,US Thanksgiving Holiday,Holiday,"US stock markets closed. Reduced liquidity; global markets may see lower volume.",Medium,Neutral
November 28 2025,German CPI,Economic,"Preliminary release; key EU inflation data. Impacts ECB expectations, Euro, and European stocks.",Medium,Mixed
November 28 2025,Canadian GDP,Economic,"Measures economic growth; affects CAD and related stocks.",Medium,Mixed
November 28 2025,Black Friday,Retail/Geopolitical,"Major shopping day; preliminary sales data can boost or hurt retail stocks. Ongoing geopolitical risks may influence sentiment.",Medium,Mixed
November 24-29 2025,Ongoing Geopolitical Developments,Geopolitical,"Post-G20 reactions, US-China trade implementations, Houthi Red Sea risks, etc. Could cause volatility in energy, trade-sensitive stocks, and crypto.",High,Bearish
